payment_id,subscription_id,paid_at,amount,currency,payment_status
P001700,S00152,2023-03-01 16:59:00,499.0,PHP,SUCCESS
P002138,S00186,2023-03-01 17:39:00,499.0,PHP,FAILED
P003667,S00320,2023-03-01 19:39:00,299.0,PHP,SUCCESS
P007167,S00616,2023-03-01 20:34:00,499.0,PHP,SUCCESS
P008920,S00762,2023-03-02 18:09:00,899.0,PHP,SUCCESS
P007196,S00619,2023-03-03 01:54:00,499.0,PHP,SUCCESS
P001236,S00111,2023-03-03 02:00:00,499.0,PHP,SUCCESS
P006982,S00598,2023-03-03 05:13:00,499.0,PHP,SUCCESS
P008848,S00755,2023-03-04 00:07:00,299.0,PHP,SUCCESS
P001100,S00099,2023-03-04 01:15:00,899.0,PHP,SUCCESS
P006061,S00522,2023-03-04 06:49:00,1299.0,PHP,SUCCESS
P004423,S00382,2023-03-04 17:01:00,8.26,USD,SUCCESS
P005539,S00481,2023-03-05 11:33:00,899.0,PHP,SUCCESS
P003638,S00317,2023-03-05 12:56:00,899.0,PHP,FAILED
P006763,S00580,2023-03-06 11:38:00,299.0,PHP,SUCCESS
P002758,S00243,2023-03-06 21:48:00,299.0,PHP,SUCCESS
P005623,S00488,2023-03-07 01:08:00,499.0,PHP,SUCCESS
P007034,S00604,2023-03-07 06:30:00,1299.0,PHP,SUCCESS
P001764,S00158,2023-03-07 13:07:00,299.0,PHP,SUCCESS
P003847,S00339,2023-03-07 18:48:00,299.0,PHP,SUCCESS
P000210,S00020,2023-03-08 06:04:00,299.0,PHP,SUCCESS
P002665,S00236,2023-03-08 18:46:00,899.0,PHP,SUCCESS
P002416,S00209,2023-03-08 23:33:00,499.0,PHP,SUCCESS
P002772,S00245,2023-03-09 11:57:00,499.0,PHP,SUCCESS
P008718,S00746,2023-03-09 15:18:00,499.0,PHP,FAILED
P006505,S00558,2023-03-09 19:21:00,299.0,PHP,SUCCESS
P002937,S00261,2023-03-10 04:03:00,299.0,PHP,SUCCESS
P005757,S00500,2023-03-11 14:57:00,4.19,USD,SUCCESS
P003150,S00280,2023-03-12 06:30:00,1299.0,PHP,SUCCESS
P005239,S00459,2023-03-12 12:51:00,6.2,USD,SUCCESS
P000611,S00057,2023-03-12 23:39:00,499.0,PHP,SUCCESS
P006409,S00552,2023-03-13 09:21:00,299.0,PHP,SUCCESS
P002350,S00201,2023-03-13 09:46:00,499.0,PHP,SUCCESS
P003807,S00333,2023-03-13 12:09:00,299.0,PHP,SUCCESS
P007940,S00688,2023-03-13 19:03:00,899.0,PHP,SUCCESS
P003991,S00352,2023-03-13 20:29:00,499.0,PHP,SUCCESS
P002648,S00233,2023-03-14 08:53:00,1299.0,PHP,FAILED
P000423,S00038,2023-03-14 09:12:00,299.0,PHP,FAILED
P003150,S00280,2023-03-14 10:30:00,1299.0,PHP,SUCCESS
P000227,S00021,2023-03-14 17:18:00,899.0,PHP,SUCCESS
P000665,S00063,2023-03-15 00:34:00,899.0,PHP,SUCCESS
P002662,S00235,2023-03-15 16:55:00,1299.0,PHP,SUCCESS
P006665,S00571,2023-03-16 08:56:00,499.0,PHP,FAILED
P007177,S00617,2023-03-16 11:13:00,299.0,PHP,SUCCESS
P008132,S00703,2023-03-17 11:12:00,299.0,PHP,SUCCESS
P008060,S00697,2023-03-17 16:54:00,299.0,PHP,FAILED
P000095,S00009,2023-03-18 08:31:00,299.0,PHP,SUCCESS
P007339,S00632,2023-03-19 07:17:00,299.0,PHP,SUCCESS
P005184,S00455,2023-03-19 18:00:00,899.0,PHP,SUCCESS
P001585,S00142,2023-03-20 04:49:00,899.0,PHP,SUCCESS
P005802,S00504,2023-03-21 06:55:00,299.0,PHP,SUCCESS
P002687,S00237,2023-03-21 11:43:00,899.0,PHP,SUCCESS
P005989,S00516,2023-03-21 12:58:00,499.0,PHP,SUCCESS
P008355,S00722,2023-03-21 15:29:00,499.0,PHP,SUCCESS
P003597,S00314,2023-03-21 15:58:00,299.0,PHP,SUCCESS
P006877,S00587,2023-03-21 21:54:00,299.0,PHP,SUCCESS
P004299,S00374,2023-03-23 10:14:00,499.0,PHP,FAILED
P000383,S00035,2023-03-23 21:39:00,299.0,PHP,SUCCESS
P009239,S00792,2023-03-24 00:44:00,299.0,PHP,FAILED
P005822,S00505,2023-03-24 02:37:00,899.0,PHP,SUCCESS
P009083,S00776,2023-03-25 00:01:00,899.0,PHP,SUCCESS
P004857,S00425,2023-03-26 00:58:00,299.0,PHP,SUCCESS
P008565,S00736,2023-03-26 02:56:00,1299.0,PHP,SUCCESS
P007470,S00647,2023-03-26 05:04:00,899.0,PHP,SUCCESS
P005722,S00498,2023-03-26 07:12:00,299.0,PHP,SUCCESS
P007875,S00682,2023-03-26 10:36:00,4.88,USD,SUCCESS
P005744,S00499,2023-03-26 14:01:00,5.87,USD,SUCCESS
P001841,S00164,2023-03-27 13:16:00,23.43,USD,FAILED
P002375,S00205,2023-03-27 23:06:00,299.0,PHP,SUCCESS
P007168,S00616,2023-04-01 01:18:00,499.0,PHP,SUCCESS
P008719,S00746,2023-04-01 14:22:00,499.0,PHP,FAILED
P005803,S00504,2023-04-01 22:00:00,299.0,PHP,SUCCESS
P001101,S00099,2023-04-01 22:58:00,899.0,PHP,SUCCESS
P001842,S00164,2023-04-02 09:33:00,1299.0,PHP,SUCCESS
P005624,S00488,2023-04-02 14:24:00,8.05,USD,SUCCESS
P006666,S00571,2023-04-02 17:14:00,499.0,PHP,SUCCESS
P002938,S00261,2023-04-03 04:46:00,5.38,USD,SUCCESS
P006668,S00572,2023-04-03 13:47:00,499.0,PHP,SUCCESS
P002279,S00197,2023-04-03 21:49:00,299.0,PHP,SUCCESS
P005240,S00459,2023-04-03 23:01:00,299.0,PHP,SUCCESS
P007197,S00619,2023-04-04 00:41:00,499.0,PHP,SUCCESS
P002417,S00209,2023-04-04 00:49:00,499.0,PHP,SUCCESS
P004440,S00387,2023-04-04 16:20:00,299.0,PHP,SUCCESS
P007876,S00682,2023-04-05 09:58:00,299.0,PHP,SUCCESS
P007784,S00675,2023-04-05 14:22:00,499.0,PHP,FAILED
P003808,S00333,2023-04-05 15:08:00,299.0,PHP,SUCCESS
P000424,S00038,2023-04-06 04:54:00,299.0,PHP,SUCCESS
P001586,S00142,2023-04-06 06:29:00,899.0,PHP,SUCCESS
P001765,S00158,2023-04-06 08:33:00,299.0,PHP,SUCCESS
P002663,S00235,2023-04-06 19:09:00,1299.0,PHP,SUCCESS
P006062,S00522,2023-04-06 22:20:00,1299.0,PHP,SUCCESS
P002376,S00205,2023-04-07 05:19:00,299.0,PHP,SUCCESS
P006764,S00580,2023-04-07 10:51:00,299.0,PHP,SUCCESS
P005185,S00455,2023-04-08 11:05:00,899.0,PHP,SUCCESS
P000769,S00070,2023-04-09 07:24:00,499.0,PHP,SUCCESS
P005847,S00507,2023-04-09 16:16:00,8.36,USD,SUCCESS
P009035,S00771,2023-04-09 19:37:00,299.0,PHP,SUCCESS
P002759,S00243,2023-04-09 19:58:00,299.0,PHP,SUCCESS
P009240,S00792,2023-04-09 21:48:00,299.0,PHP,SUCCESS
P002666,S00236,2023-04-09 22:43:00,899.0,PHP,SUCCESS
P007941,S00688,2023-04-11 01:28:00,899.0,PHP,SUCCESS
P002139,S00186,2023-04-11 14:01:00,499.0,PHP,SUCCESS
P002773,S00245,2023-04-12 05:25:00,499.0,PHP,SUCCESS
P002688,S00237,2023-04-12 09:12:00,899.0,PHP,SUCCESS
P003598,S00314,2023-04-12 13:48:00,299.0,PHP,SUCCESS
P007584,S00659,2023-04-12 14:19:00,299.0,PHP,SUCCESS
P000211,S00020,2023-04-12 18:47:00,299.0,PHP,SUCCESS
P005990,S00516,2023-04-12 20:09:00,499.0,PHP,SUCCESS
P004424,S00382,2023-04-12 21:40:00,499.0,PHP,SUCCESS
P000228,S00021,2023-04-15 04:25:00,899.0,PHP,SUCCESS
P001326,S00119,2023-04-15 07:00:00,7.99,USD,SUCCESS
P005758,S00500,2023-04-15 09:26:00,299.0,PHP,SUCCESS
P008849,S00755,2023-04-15 18:24:00,-299.0,PHP,REFUNDED
P002351,S00201,2023-04-15 19:36:00,499.0,PHP,SUCCESS
P005564,S00483,2023-04-15 19:40:00,499.0,PHP,SUCCESS
P003668,S00320,2023-04-16 13:46:00,299.0,PHP,SUCCESS
P008566,S00736,2023-04-16 20:26:00,1299.0,PHP,SUCCESS
P001701,S00152,2023-04-16 22:36:00,499.0,PHP,SUCCESS
P003848,S00339,2023-04-17 02:38:00,299.0,PHP,SUCCESS
P005540,S00481,2023-04-17 07:41:00,899.0,PHP,SUCCESS
P004261,S00372,2023-04-19 01:22:00,299.0,PHP,SUCCESS
P000384,S00035,2023-04-19 03:40:00,299.0,PHP,SUCCESS
P008210,S00710,2023-04-19 07:01:00,899.0,PHP,SUCCESS
P008356,S00722,2023-04-20 02:17:00,499.0,PHP,SUCCESS
P002639,S00232,2023-04-20 17:09:00,1299.0,PHP,SUCCESS
P004300,S00374,2023-04-20 17:13:00,499.0,PHP,SUCCESS
P001269,S00114,2023-04-21 06:24:00,299.0,PHP,SUCCESS
P008061,S00697,2023-04-21 11:19:00,299.0,PHP,SUCCESS
P002649,S00233,2023-04-21 12:11:00,1299.0,PHP,SUCCESS
P008133,S00703,2023-04-21 19:08:00,299.0,PHP,SUCCESS
P006878,S00587,2023-04-21 21:14:00,-299.0,PHP,REFUNDED
P003151,S00280,2023-04-21 23:55:00,1299.0,PHP,FAILED
P003262,S00291,2023-04-22 01:57:00,299.0,PHP,SUCCESS
P007035,S00604,2023-04-22 16:58:00,1299.0,PHP,FAILED
P003639,S00317,2023-04-22 19:24:00,15.84,USD,SUCCESS
P007471,S00647,2023-04-22 20:49:00,899.0,PHP,SUCCESS
P005823,S00505,2023-04-22 22:21:00,899.0,PHP,SUCCESS
P008681,S00744,2023-04-23 05:35:00,299.0,PHP,SUCCESS
P005723,S00498,2023-04-23 12:52:00,299.0,PHP,SUCCESS
P009084,S00776,2023-04-23 15:28:00,899.0,PHP,SUCCESS
P006410,S00552,2023-04-23 16:14:00,299.0,PHP,SUCCESS
P003992,S00352,2023-04-23 22:06:00,499.0,PHP,SUCCESS
P004858,S00425,2023-04-24 19:59:00,299.0,PHP,FAILED
P000612,S00057,2023-04-24 21:50:00,499.0,PHP,SUCCESS
P005745,S00499,2023-04-24 23:01:00,299.0,PHP,SUCCESS
P008921,S00762,2023-04-24 23:31:00,899.0,PHP,SUCCESS
P007178,S00617,2023-04-25 03:15:00,299.0,PHP,SUCCESS
P007340,S00632,2023-04-25 08:31:00,299.0,PHP,SUCCESS
P006983,S00598,2023-04-25 09:52:00,8.41,USD,SUCCESS
P009015,S00770,2023-04-25 16:33:00,299.0,PHP,SUCCESS
P001237,S00111,2023-04-25 17:30:00,499.0,PHP,SUCCESS
P002589,S00228,2023-04-25 20:30:00,499.0,PHP,SUCCESS
P000045,S00005,2023-04-25 21:33:00,299.0,PHP,SUCCESS
P000666,S00063,2023-04-26 22:36:00,899.0,PHP,SUCCESS
P000480,S00043,2023-04-27 04:26:00,299.0,PHP,SUCCESS
P006428,S00553,2023-04-27 05:11:00,1299.0,PHP,SUCCESS
P000588,S00053,2023-04-27 12:26:00,299.0,PHP,SUCCESS
P005637,S00491,2023-04-27 13:06:00,299.0,PHP,SUCCESS
P002201,S00191,2023-04-27 16:07:00,5.85,USD,SUCCESS
P004867,S00427,2023-04-27 16:09:00,299.0,PHP,SUCCESS
P006213,S00535,2023-05-01 02:08:00,22.63,USD,SUCCESS
P005565,S00483,2023-05-01 15:00:00,499.0,PHP,SUCCESS
P005824,S00505,2023-05-01 21:42:00,899.0,PHP,SUCCESS
P006055,S00521,2023-05-02 02:43:00,299.0,PHP,SUCCESS
P002310,S00199,2023-05-02 11:44:00,16.63,USD,SUCCESS
P008016,S00693,2023-05-02 18:00:00,299.0,PHP,SUCCESS
P003849,S00339,2023-05-03 06:23:00,299.0,PHP,SUCCESS
P001843,S00164,2023-05-03 11:24:00,1299.0,PHP,SUCCESS
P001238,S00111,2023-05-03 12:34:00,499.0,PHP,SUCCESS
P000073,S00008,2023-05-03 19:47:00,899.0,PHP,SUCCESS
P008211,S00710,2023-05-04 00:45:00,899.0,PHP,SUCCESS
P000229,S00021,2023-05-04 05:31:00,899.0,PHP,SUCCESS
P005991,S00516,2023-05-04 09:55:00,499.0,PHP,SUCCESS
P004243,S00371,2023-05-04 10:17:00,299.0,PHP,SUCCESS
P004301,S00374,2023-05-04 12:27:00,499.0,PHP,SUCCESS
P006879,S00587,2023-05-05 02:54:00,299.0,PHP,SUCCESS
P006168,S00530,2023-05-05 03:04:00,299.0,PHP,SUCCESS
P003640,S00317,2023-05-05 19:33:00,899.0,PHP,FAILED
P008682,S00744,2023-05-05 20:24:00,4.47,USD,SUCCESS
P001587,S00142,2023-05-05 21:35:00,899.0,PHP,SUCCESS
P006411,S00552,2023-05-05 23:04:00,299.0,PHP,SUCCESS
P007341,S00632,2023-05-05 23:15:00,299.0,PHP,SUCCESS
P008134,S00703,2023-05-06 04:49:00,299.0,PHP,SUCCESS
P007456,S00645,2023-05-06 07:10:00,299.0,PHP,SUCCESS
P002640,S00232,2023-05-06 09:03:00,22.98,USD,SUCCESS
P006765,S00580,2023-05-06 12:22:00,299.0,PHP,SUCCESS
P004425,S00382,2023-05-06 16:55:00,499.0,PHP,SUCCESS
P002418,S00209,2023-05-06 17:04:00,8.78,USD,SUCCESS
P003669,S00320,2023-05-07 04:49:00,299.0,PHP,SUCCESS
P003599,,2023-05-07 12:17:00,299.0,PHP,SUCCESS
P003599,S00314,2023-05-07 12:17:00,299.0,PHP,SUCCESS
P007472,S00647,2023-05-08 00:11:00,899.0,PHP,SUCCESS
P005746,S00499,2023-05-08 06:36:00,299.0,PHP,SUCCESS
P006984,S00598,2023-05-08 14:16:00,499.0,PHP,SUCCESS
P007785,S00675,2023-05-08 16:46:00,499.0,PHP,SUCCESS
P002435,S00213,2023-05-08 19:42:00,299.0,PHP,SUCCESS
P004868,S00427,2023-05-09 07:31:00,299.0,PHP,SUCCESS
P000425,S00038,2023-05-09 08:55:00,-299.0,PHP,REFUNDED
P002352,S00201,2023-05-09 11:29:00,499.0,PHP,SUCCESS
P009036,S00771,2023-05-09 23:20:00,299.0,PHP,SUCCESS
P009085,S00776,2023-05-10 05:14:00,899.0,PHP,SUCCESS
P009241,S00792,2023-05-10 07:11:00,299.0,PHP,SUCCESS
P005638,S00491,2023-05-10 20:28:00,299.0,PHP,SUCCESS
P000613,S00057,2023-05-10 21:52:00,499.0,PHP,FAILED
P002696,S00238,2023-05-11 05:38:00,16.4,USD,SUCCESS
P002590,S00228,2023-05-11 05:39:00,499.0,PHP,FAILED
P005541,S00481,2023-05-11 07:08:00,899.0,PHP,FAILED
P002202,S00191,2023-05-11 09:01:00,299.0,PHP,SUCCESS
P005804,S00504,2023-05-11 10:18:00,299.0,PHP,SUCCESS
P007169,S00616,2023-05-11 16:27:00,499.0,PHP,SUCCESS
P007585,S00659,2023-05-11 22:33:00,299.0,PHP,SUCCESS
P002650,S00233,2023-05-11 23:59:00,1299.0,PHP,SUCCESS
P004441,S00387,2023-05-12 02:00:00,299.0,PHP,SUCCESS
P005724,S00498,2023-05-12 11:43:00,5.53,USD,SUCCESS
P000481,S00043,2023-05-13 13:26:00,299.0,PHP,SUCCESS
P002616,S00230,2023-05-13 14:31:00,299.0,PHP,SUCCESS
P008909,S00761,2023-05-13 16:34:00,299.0,PHP,SUCCESS
P000770,S00070,2023-05-13 17:06:00,499.0,PHP,SUCCESS
P005625,S00488,2023-05-14 02:24:00,499.0,PHP,SUCCESS
P001270,S00114,2023-05-14 16:10:00,299.0,PHP,SUCCESS
P003263,S00291,2023-05-14 16:16:00,299.0,PHP,SUCCESS
P008432,S00726,2023-05-15 05:20:00,5.38,USD,SUCCESS
P005241,S00459,2023-05-15 05:45:00,299.0,PHP,SUCCESS
P000667,S00063,2023-05-15 10:11:00,899.0,PHP,SUCCESS
P001327,S00119,2023-05-15 16:38:00,499.0,PHP,SUCCESS
P005186,S00455,2023-05-16 01:49:00,899.0,PHP,SUCCESS
P000565,S00049,2023-05-16 14:49:00,299.0,PHP,SUCCESS
P006911,S00589,2023-05-16 15:43:00,1299.0,PHP,SUCCESS
P000385,S00035,2023-05-16 17:25:00,299.0,PHP,SUCCESS
P002667,S00236,2023-05-16 19:16:00,899.0,PHP,SUCCESS
P008567,S00736,2023-05-17 07:54:00,1299.0,PHP,SUCCESS
P007877,S00682,2023-05-17 08:47:00,299.0,PHP,SUCCESS
P000545,S00048,2023-05-17 18:26:00,299.0,PHP,SUCCESS
P006063,S00522,2023-05-17 21:14:00,1299.0,PHP,SUCCESS
P000046,S00005,2023-05-17 21:18:00,299.0,PHP,FAILED
P000589,S00053,2023-05-18 05:40:00,299.0,PHP,SUCCESS
P008345,S00721,2023-05-18 08:59:00,299.0,PHP,SUCCESS
P002939,S00261,2023-05-18 14:17:00,299.0,PHP,FAILED
P002569,S00227,2023-05-18 19:02:00,8.76,USD,FAILED
P007179,S00617,2023-05-18 22:54:00,299.0,PHP,FAILED
P003483,S00306,2023-05-19 10:35:00,299.0,PHP,SUCCESS
P008297,S00716,2023-05-19 12:47:00,499.0,PHP,SUCCESS
P009016,S00770,2023-05-19 13:27:00,299.0,PHP,SUCCESS
P004262,S00372,2023-05-19 14:25:00,299.0,PHP,SUCCESS
P009310,S00798,2023-05-19 17:12:00,16.72,USD,FAILED
P007753,S00673,2023-05-19 17:33:00,899.0,PHP,SUCCESS
P001702,S00152,2023-05-20 07:16:00,499.0,PHP,SUCCESS
P006669,S00572,2023-05-20 11:14:00,499.0,PHP,SUCCESS
P005759,S00500,2023-05-20 22:42:00,299.0,PHP,SUCCESS
P008062,S00697,2023-05-21 03:27:00,299.0,PHP,SUCCESS
P001102,S00099,2023-05-21 05:49:00,899.0,PHP,SUCCESS
P004859,S00425,2023-05-21 08:29:00,299.0,PHP,SUCCESS
P003976,S00351,2023-05-21 23:57:00,8.07,USD,SUCCESS
P005460,S00474,2023-05-22 00:55:00,899.0,PHP,SUCCESS
P003993,S00352,2023-05-22 23:54:00,8.54,USD,SUCCESS
P006667,S00571,2023-05-23 07:41:00,499.0,PHP,SUCCESS
P002774,S00245,2023-05-23 10:57:00,-499.0,PHP,REFUNDED
P002664,S00235,2023-05-23 11:22:00,-1299.0,PHP,REFUNDED
P002689,S00237,2023-05-23 22:20:00,899.0,PHP,SUCCESS
P002280,S00197,2023-05-24 11:31:00,299.0,PHP,SUCCESS
P007942,S00688,2023-05-24 13:21:00,899.0,PHP,SUCCESS
P000212,S00020,2023-05-24 15:30:00,5.24,USD,SUCCESS
P003152,S00280,2023-05-25 08:50:00,1299.0,PHP,SUCCESS
P002760,S00243,2023-05-25 14:14:00,299.0,PHP,SUCCESS
P008850,S00755,2023-05-25 16:59:00,299.0,PHP,SUCCESS
P002377,S00205,2023-05-25 21:16:00,299.0,PHP,SUCCESS
P008720,S00746,2023-05-26 00:41:00,8.97,USD,REFUNDED
P007036,S00604,2023-05-26 04:39:00,1299.0,PHP,SUCCESS
P006429,S00553,2023-05-26 09:11:00,1299.0,PHP,SUCCESS
P001766,S00158,2023-05-26 16:11:00,299.0,PHP,SUCCESS
P005848,S00507,2023-05-26 23:49:00,8.58,USD,SUCCESS
P002439,S00214,2023-05-27 06:38:00,499.0,PHP,SUCCESS
P002140,S00186,2023-05-27 12:06:00,499.0,PHP,SUCCESS
P008357,S00722,2023-05-27 14:41:00,8.71,USD,SUCCESS
P008922,S00762,2023-05-27 19:48:00,-899.0,PHP,REFUNDED
P007839,S00680,2023-06-01 00:06:00,299.0,PHP,SUCCESS
P004442,S00387,2023-06-01 01:48:00,299.0,PHP,SUCCESS
P005626,S00488,2023-06-01 07:10:00,499.0,PHP,SUCCESS
P003264,S00291,2023-06-01 07:47:00,299.0,PHP,SUCCESS
P004302,S00374,2023-06-01 08:00:00,499.0,PHP,SUCCESS
P005805,S00504,2023-06-01 13:27:00,5.5,USD,SUCCESS
P003977,S00351,2023-06-01 17:16:00,499.0,PHP,SUCCESS
P002353,S00201,2023-06-01 19:16:00,-499.0,PHP,REFUNDED
P007754,S00673,2023-06-01 23:13:00,899.0,PHP,SUCCESS
P005725,S00498,2023-06-02 00:45:00,299.0,PHP,SUCCESS
P007170,S00616,2023-06-03 02:43:00,499.0,PHP,SUCCESS
P005566,S00483,2023-06-03 17:56:00,499.0,PHP,SUCCESS
P000230,S00021,2023-06-03 19:27:00,899.0,PHP,SUCCESS
P008910,S00761,2023-06-03 22:02:00,299.0,PHP,SUCCESS
P008721,S00746,2023-06-03 22:44:00,499.0,PHP,SUCCESS
P004596,S00401,2023-06-04 06:07:00,299.0,PHP,SUCCESS
P004426,S00382,2023-06-04 08:12:00,499.0,PHP,SUCCESS
P007878,S00682,2023-06-04 17:14:00,299.0,PHP,SUCCESS
P004436,S00386,2023-06-04 23:56:00,299.0,PHP,SUCCESS
P001703,S00152,2023-06-05 06:09:00,9.85,USD,FAILED
P005614,S00487,2023-06-05 08:46:00,299.0,PHP,SUCCESS
P000771,S00070,2023-06-05 11:41:00,499.0,PHP,SUCCESS
P001588,S00142,2023-06-05 15:50:00,899.0,PHP,SUCCESS
P002311,S00199,2023-06-05 18:06:00,899.0,PHP,SUCCESS
P003670,S00320,2023-06-05 23:22:00,299.0,PHP,SUCCESS
P008135,S00703,2023-06-06 08:57:00,299.0,PHP,SUCCESS
P002533,S00224,2023-06-06 10:53:00,1299.0,PHP,SUCCESS
P006897,S00588,2023-06-06 12:48:00,499.0,PHP,SUCCESS
P004869,S00427,2023-06-06 21:17:00,299.0,PHP,SUCCESS
P005849,S00507,2023-06-06 23:13:00,499.0,PHP,SUCCESS
P007037,S00604,2023-06-07 00:58:00,1299.0,PHP,SUCCESS
P002281,S00197,2023-06-07 02:46:00,299.0,PHP,SUCCESS
P005461,S00474,2023-06-07 03:28:00,899.0,PHP,SUCCESS
P005657,S00492,2023-06-07 11:24:00,15.36,USD,SUCCESS
P007180,S00617,2023-06-07 11:46:00,299.0,PHP,SUCCESS
P002940,S00261,2023-06-07 14:17:00,299.0,PHP,SUCCESS
P006169,S00530,2023-06-07 15:48:00,299.0,PHP,FAILED
P004459,S00390,2023-06-08 00:17:00,299.0,PHP,SUCCESS
P001844,S00164,2023-06-08 00:56:00,1299.0,PHP,SUCCESS
P007293,S00628,2023-06-08 10:48:00,1299.0,PHP,SUCCESS
P007943,S00688,2023-06-08 16:26:00,899.0,PHP,SUCCESS
P003641,S00317,2023-06-08 20:11:00,899.0,PHP,SUCCESS
P000590,S00053,2023-06-09 00:43:00,299.0,PHP,SUCCESS
P000288,S00027,2023-06-09 06:52:00,299.0,PHP,SUCCESS
P000074,S00008,2023-06-09 09:53:00,899.0,PHP,SUCCESS
P000482,S00043,2023-06-09 11:28:00,299.0,PHP,SUCCESS
